matrix_id,mean_total_execution_time,min_total_execution_time,max_total_execution_time,mse_total_execution_time,stddev_total_execution_time
ASIC_680ks,67.042833,38.429000,224.162000,2508.769078,50.087614
FullChip,60.070111,57.699000,65.014000,3.660080,1.913134
Ga41As41H72,15.615722,11.046000,44.896000,88.787791,9.422727
Rucci1,24.034500,23.284000,25.101000,0.416133,0.645084
Si41Ge41H72,9.454389,8.836000,10.135000,0.178843,0.422898
boyd2,5.857833,5.452000,6.224000,0.047541,0.218040
eu-2005,28.793444,27.408000,30.687000,0.763472,0.873769
ldoor,37.723500,34.585000,53.990000,18.141294,4.259260
rajat31,56.999944,53.639000,71.076000,13.880739,3.725686
webbase-1M,12.381944,11.732000,13.038000,0.152183,0.390107
